PN.O_N;P.Max;DO_N;GP_CAT
8.96969697;-1.0;2.06;1
2.24210526;-0.8;3.17;1
2.09108911;-1.8;1.05;1
1.44657534;-1.5;0.76;1
4.80000000;-0.5;0.21;1
5.94285714;-1.8;0.66;1
5.52727273;-0.3;0.34;1
0.00000000;-1.1;2.50;2
0.38400000;-0.2;0.26;1
16.60540541;-1.5;0.39;1
8.53333333;-0.5;0.66;1
0.00000000;-0.6;0.10;2
6.24000000;-1.2;0.83;1
0.76981132;-2.1;4.42;1
6.87761194;-2.2;0.70;1
1.21379310;-0.5;0.91;1
6.19354839;-0.9;0.65;1
4.65882353;-1.0;0.71;1
0.15483871;-0.7;2.58;1
4.44878049;-0.4;0.85;1
4.00879121;-2.2;0.95;1
9.00000000;-0.8;0.83;1
-0.59178082;-4.1;3.04;2
6.80000000;-0.5;0.50;1
2.61290323;-0.5;5.17;1
6.64615385;-0.4;0.54;1
1.12941176;-2.7;0.89;1
0.37081545;-1.7;2.43;1
3.84000000;-0.8;0.36;1
8.29090909;-0.6;0.46;1
5.00869565;-0.9;0.48;1
3.45600000;-0.3;0.26;1
4.35630252;-1.2;1.24;1
1.70467290;-1.0;1.11;1
1.98260870;-1.4;0.96;1
1.12191235;-1.0;7.84;1
1.35529412;-1.3;2.66;1
0.00000000;-0.7;0.15;2
2.50434783;-1.4;0.48;1
0.11707317;-0.8;0.85;1
0.54084507;-1.3;1.48;1
4.55314286;-1.2;1.82;1
3.00659341;-3.3;1.90;1
2.71304348;-1.9;4.79;1
2.94697674;-2.3;4.48;1
3.05563910;-0.4;4.16;1
2.64633431;-1.7;3.55;1
1.04727273;-1.0;2.29;1
0.80145191;-0.5;5.74;1
0.86943396;-3.7;2.76;1
15.64444444;-1.5;0.28;1
0.20000000;-5.5;3.00;1
2.56744186;-2.1;0.90;1
-0.33027523;-3.8;4.54;2
0.56470588;-0.9;0.35;1
4.28634686;-0.6;2.82;1
0.87096774;-1.1;5.17;1
-2.60186916;-3.1;1.11;2
1.38852868;-1.0;4.18;1
3.42857143;-0.4;1.46;1
-0.29090909;-2.7;0.34;2
0.56470588;-0.6;1.24;1
2.80615385;-1.1;6.77;1
1.84615385;-1.9;4.06;1
-1.09367089;-2.8;1.65;2
7.60000000;-0.7;0.50;1
1.08881789;-5.1;6.52;1
11.52000000;-0.7;0.73;1
1.42978723;-2.0;1.96;1
2.76610169;-0.4;0.61;1
12.98823529;-2.7;0.18;1
-0.19793814;-3.5;1.01;2
14.96470588;-0.9;0.71;1
12.37333333;-1.9;0.47;1
-9.60000000;-1.3;0.14;2
2.10000000;-1.3;0.33;1
1.92000000;-0.8;0.31;1
-3.84000000;-0.9;0.10;2
4.36363636;-0.2;0.11;1
-8.29090909;-2.5;0.23;2
-0.22068966;-3.0;2.72;2
-1.15200000;-2.7;0.26;2
-3.06206897;-4.3;1.21;2
3.55555556;-1.2;0.28;1
-3.20000000;-1.3;0.13;2
-2.42242991;-2.7;1.11;2
0.65207547;-1.0;2.76;1
1.85263158;-1.5;0.59;1
-0.16551724;-1.9;0.60;2
8.73600000;-1.0;1.04;1
3.00431655;-1.4;2.90;1
9.04186047;-0.3;0.90;1
2.67130435;-2.6;1.20;1
7.85454545;-0.9;0.23;1
4.09411765;-0.5;0.71;1
4.18257261;-1.2;2.51;1
0.28235294;-0.6;0.35;1
6.64615385;-0.7;0.68;1
9.18260870;-0.5;0.48;1
12.80000000;-1.5;0.97;1
0.41089494;-3.4;2.68;1
7.42068966;-1.0;3.63;1
10.51428571;-1.8;0.44;1
-0.76800000;-0.8;0.26;2
3.20000000;-1.2;0.53;1
7.17473684;-1.5;0.99;1
3.39467681;-0.7;2.74;1
2.72842105;-0.3;0.99;1
10.11428571;-0.9;0.58;1
7.90588235;-1.3;0.71;1
3.77142857;-0.6;0.29;1
-6.10909091;-1.1;0.11;2
-16.67368421;-4.0;0.20;2
-2.11376147;-3.1;1.14;2
4.80000000;-0.4;0.35;1
-10.58461538;-4.7;0.41;2
-8.58947368;-5.1;0.59;2
2.59090909;-1.0;3.67;1
6.00000000;-0.7;0.75;1
5.57419355;-1.0;0.65;1
-15.20000000;-1.9;0.13;2
-4.90666667;-5.0;0.94;2
0.10549451;-1.7;2.84;1
5.78630137;-1.0;1.52;1
0.89142857;-0.9;2.92;1
3.06086957;-0.7;0.72;1
7.73333333;-0.8;0.75;1
2.92398922;-2.3;3.86;1
6.88695652;-0.6;0.96;1
7.93043478;-1.6;0.48;1
4.00000000;-3.9;0.75;1
-0.82178988;-3.0;2.68;2
7.36969697;-1.7;1.03;1
7.82222222;-1.0;1.13;1
6.64615385;-0.3;0.41;1
7.95428571;-1.4;0.36;1
-38.40000000;-5.0;0.10;2
-0.83478261;-1.1;0.24;2
6.09391304;-1.2;1.20;1
-16.53333333;-3.9;0.19;2
-4.11428571;-2.2;0.15;2
1.15714286;-1.0;2.33;1
26.05714286;-1.2;0.51;1
5.14015748;-1.2;1.32;1
-2.50434783;-1.5;0.24;2
3.41621622;-0.3;4.63;1
3.00000000;-0.4;0.33;1
3.11172414;-1.0;1.51;1
0.00000000;-0.8;0.31;2
0.80963855;-4.5;3.46;1
10.80754717;-1.6;1.66;1
4.20000000;-1.7;1.00;1
5.45185185;-0.3;0.84;1
7.63076923;-0.5;0.81;1
4.43076923;-0.5;0.27;1
-0.10867925;-3.3;2.76;2
-4.20000000;-2.5;0.50;2
12.85871560;-1.5;1.14;1
-4.11428571;-1.9;0.22;2
4.80000000;-1.3;0.63;1
0.64000000;-1.2;0.31;1
5.30149254;-0.1;0.70;1
-0.04304933;-0.5;2.32;2
3.07200000;-1.3;0.78;1
3.42857143;-1.2;0.73;1
6.03428571;-3.3;0.36;1
-5.26451613;-3.8;0.65;2
0.55081967;-3.2;2.54;1
-2.88000000;-3.4;0.83;2
6.43902439;-1.0;0.85;1
6.46530612;-1.1;0.51;1
-7.85454545;-1.8;0.23;2
1.25326371;-3.2;3.99;1
-1.47692308;-2.2;0.41;2
0.30967742;-2.1;0.65;1
12.98823529;-0.6;0.53;1
5.73834586;-1.3;2.77;1
-2.68800000;-4.1;0.26;2
2.35231788;-2.0;1.57;1
1.02857143;-0.3;0.58;1
-1.53457249;-4.4;2.80;2
5.31167513;-1.7;4.10;1
-0.21452514;-2.0;1.86;2
-0.98461538;-4.3;0.81;2
1.51778656;-0.8;2.64;1
-0.10909091;-4.8;1.83;2
7.15932203;-0.6;0.61;1
5.34545455;-3.8;1.83;1
3.05454545;-1.7;1.38;1
4.73239437;-6.3;0.74;1
-7.68000000;-8.4;0.83;2
4.57014085;-2.2;3.70;1
12.09600000;-1.6;1.04;1
-4.66285714;-1.1;0.36;2
9.03896104;-0.7;1.60;1
0.51063830;-0.8;2.94;1
5.27472527;-1.6;0.95;1
-1.31764706;-1.4;0.53;2
2.58295964;-1.3;2.32;1
0.49230769;-2.3;0.81;1
